corr,peak_idx,peak_val
abs,29929,121150.74941357823
abs,30321,122237.17918400267
abs,30713,123877.02490093785
abs,31497,121114.26494123392
abs,31889,125714.17190672489
abs,32673,118813.36775028461
real,29930,84679.84690537548
real,30321,83682.74339405425
real,30713,87915.0997922543
real,31106,89388.89858806762
real,31497,82478.18422983585
real,31889,90324.33982517562
real,32281,85715.67784327685
imag,29929,87085.19709353022
imag,30321,89101.77570007707
imag,30714,87538.87329470749
imag,31497,88690.55360298896
imag,31890,87629.96142689363
imag,32673,88932.69647343282
all,29929,121150.74941357823
all,29930,120576.94309384485
all,30321,122237.17918400267
all,30713,123877.02490093785
all,30714,123102.94949930384
all,31106,104460.92283976686
all,31497,121114.26494123392
all,31889,125714.17190672489
all,31890,124686.57202360165
all,32281,85940.9623249467
all,32673,118813.36775028461
