time,log_name
1770239689.90623,has_sync_sequence=True,321065
1770239695.4243429,has_sync_sequence=True,217991
1770239695.424974,has_frame=True,217991
1770239734.102894,has_sync_sequence=True,375911
1770239734.1035924,has_frame=True,375911
1770239734.1039143,has_sync_sequence=True,375911
1770239734.104564,has_frame=True,375911
1770239734.1053991,has_sync_sequence=True,378821
1770239734.10604,has_frame=True,378821
1770239734.1066408,has_sync_sequence=True,378821
1770239734.1072915,has_frame=True,378821
1770239734.1080875,has_sync_sequence=True,384551
1770239734.109344,has_sync_sequence=True,388647
1770239734.1100018,has_frame=True,388647
1770239734.110033,packet.has_packet=True,388647
1770239734.110646,has_sync_sequence=True,390644
1770239734.1112769,has_frame=True,390644
1770239734.1113007,packet.has_packet=True,390644
1770239734.1119323,has_sync_sequence=True,397001
1770239734.112565,has_sync_sequence=True,397001
1770239734.1138117,has_sync_sequence=True,399153
1770239734.1144357,has_frame=True,399153
1770239734.114694,has_sync_sequence=True,399153
1770239734.1153324,has_frame=True,399153
1770239734.1161716,has_sync_sequence=True,401143
1770239734.1168015,has_frame=True,401143
1770239734.1168153,packet.has_packet=True,401143
